HV-state,HV_delta,IPI-state,IPI_delta,CLK-state,CLK_delta,
15,-6.4,15,0.84,0,0,
14,-6,14,0.78,1,1.01,
13,-5.6,13,0.72,2,2.02,
12,-5.2,12,0.66,3,3.03,
11,-4.8,11,0.6,4,4.04,
10,-4.4,10,0.55,5,5.05,
9,-4,9,0.51,6,6.06,
8,-3.6,8,0.47,7,7.11,
7,-3.2,7,0.42,8,7.81,
6,-2.75,6,0.38,9,8.53,
5,-2.24,5,0.33,10,9.11,
4,-1.79,4,0.27,11,9.71,
3,-1.31,3,0.2,12,10.2,
2,-0.86,2,0.14,13,10.75,
1,-0.44,1,0.07,14,11.3,
0,0.02,0,0,15,11.96,
31,0.43,31,-0.07,,,
30,0.84,30,-0.14,,,
29,1.25,29,-0.2,,,
28,1.65,28,-0.27,,,
27,2.04,27,-0.33,,,
26,2.43,26,-0.38,,,
25,2.81,25,-0.42,,,
24,3.17,24,-0.47,,,
23,3.53,23,-0.51,,,
22,3.89,22,-0.55,,,
21,4.24,21,-0.6,,,
20,4.58,20,-0.66,,,
19,4.92,19,-0.72,,,
18,5.26,18,-0.78,,,
17,5.58,17,-0.84,,,
16,5.87,16,-0.9,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
