Test Name,Settings,Target,RegisterAddress_Hex,Data_LSB,Data_Bits_Length,RegAdd2_Hex,Data_MSB
ODFT_Trim,0,2.1,7,0,4,0,0
,1,,,,,,
,2,,,,,,
,3,,,,,,
,4,,,,,,
,5,,,,,,
,6,,,,,,
,7,,,,,,
,8,,,,,,
,9,,,,,,
,10,,,,,,
,11,,,,,,
,12,,,,,,
,13,,,,,,
,14,,,,,,
,15,,,,,,
,16,,,,,,
,17,,,,,,
,18,,,,,,
,19,,,,,,
,20,,,,,,
,21,,,,,,
,22,,,,,,
,23,,,,,,
,24,,,,,,
,25,,,,,,
,26,,,,,,
,27,,,,,,
,28,,,,,,
,29,,,,,,
,30,,,,,,
,31,,,,,,
HV_Trim,0,41.25,8,0,4,0,0
,1,,,,,,
,2,,,,,,
,3,,,,,,
,4,,,,,,
,5,,,,,,
,6,,,,,,
,7,,,,,,
,8,,,,,,
,9,,,,,,
,10,,,,,,
,11,,,,,,
,12,,,,,,
,13,,,,,,
,14,,,,,,
,15,,,,,,
,16,,,,,,
,17,,,,,,
,18,,,,,,
,19,,,,,,
,20,,,,,,
,21,,,,,,
,22,,,,,,
,23,,,,,,
,24,,,,,,
,25,,,,,,
,26,,,,,,
,27,,,,,,
,28,,,,,,
,29,,,,,,
,30,,,,,,
,31,,,,,,
Freq_Trim,0,20,6,0,4,0,0
,1,,,,,,
,2,,,,,,
,3,,,,,,
,4,,,,,,
,5,,,,,,
,6,,,,,,
,7,,,,,,
,8,,,,,,
,9,,,,,,
,10,,,,,,
,11,,,,,,
,12,,,,,,
,13,,,,,,
,14,,,,,,
,15,,,,,,
END,,,,,,,
